epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
71,2614.91,0.19686,0.96024,0.98781,0.18472,0.000307,0.000307,0.000307
72,2651.66,0.19269,0.96062,0.98781,0.18446,0.0002971,0.0002971,0.0002971
73,2687.93,0.19325,0.96075,0.98794,0.18448,0.0002872,0.0002872,0.0002872
74,2724.6,0.18676,0.96101,0.98781,0.18407,0.0002773,0.0002773,0.0002773
75,2761.01,0.18079,0.96075,0.98781,0.18403,0.0002674,0.0002674,0.0002674
76,2798.04,0.18051,0.96088,0.98743,0.18424,0.0002575,0.0002575,0.0002575
77,2833.85,0.17465,0.96088,0.98769,0.1836,0.0002476,0.0002476,0.0002476
78,2870.95,0.16693,0.96024,0.98769,0.18333,0.0002377,0.0002377,0.0002377
79,2907.34,0.16574,0.96075,0.98769,0.18319,0.0002278,0.0002278,0.0002278
80,2943.9,0.1577,0.96113,0.98781,0.1831,0.0002179,0.0002179,0.0002179
81,2980.17,0.15762,0.96113,0.98794,0.18271,0.000208,0.000208,0.000208
82,3016.85,0.15293,0.96075,0.98769,0.18273,0.0001981,0.0001981,0.0001981
83,3053.2,0.14546,0.96088,0.98807,0.18266,0.0001882,0.0001882,0.0001882
84,3089.99,0.14331,0.96113,0.98756,0.18183,0.0001783,0.0001783,0.0001783
85,3126.18,0.1421,0.96126,0.98794,0.18195,0.0001684,0.0001684,0.0001684
86,3162.66,0.137,0.96088,0.98807,0.18156,0.0001585,0.0001585,0.0001585
87,3198.95,0.13914,0.96062,0.98794,0.1815,0.0001486,0.0001486,0.0001486
88,3235.81,0.12801,0.96088,0.98794,0.18127,0.0001387,0.0001387,0.0001387
89,3271.88,0.12042,0.96049,0.98807,0.18082,0.0001288,0.0001288,0.0001288
90,3308.88,0.1219,0.96036,0.98769,0.18056,0.0001189,0.0001189,0.0001189
91,3360.09,0.11537,0.96075,0.98781,0.18048,0.000109,0.000109,0.000109
92,3396.73,0.11044,0.96024,0.98794,0.18049,9.91e-05,9.91e-05,9.91e-05
93,3432.52,0.10499,0.96075,0.98807,0.18019,8.92e-05,8.92e-05,8.92e-05
94,3469.57,0.10065,0.96075,0.98807,0.18012,7.93e-05,7.93e-05,7.93e-05
95,3506.42,0.1029,0.96075,0.98781,0.17986,6.94e-05,6.94e-05,6.94e-05
96,3542.88,0.10205,0.96062,0.98781,0.18002,5.95e-05,5.95e-05,5.95e-05
97,3579.25,0.09587,0.96088,0.98807,0.17951,4.96e-05,4.96e-05,4.96e-05
98,3615.79,0.08853,0.96075,0.98781,0.17954,3.97e-05,3.97e-05,3.97e-05
99,3651.86,0.08609,0.96126,0.98769,0.1793,2.98e-05,2.98e-05,2.98e-05
100,3688.84,0.0838,0.96126,0.98769,0.1789,1.99e-05,1.99e-05,1.99e-05
